Title,Year,Score,Runtime,Genre,Rating
Nomads,1986,5.5,91,Horror,R
Eliminators,1986,4.5,96,Action,PG
Meatballs III: Summer Job,1986,3.3,96,Comedy,R
Murphy's Law,1986,5.9,100,Action,R
True Stories,1986,7,90,Musical,PG
Under the Cherry Moon,1986,4.9,98,Comedy,PG-13
Every Time We Say Goodbye,1986,5.9,95,Drama,PG-13
Absolute Beginners,1986,5.6,108,Drama,PG-13
'Round Midnight,1986,7.4,133,Drama,R
Avenging Force,1986,5.9,104,Action,R
Bullies,1986,5.4,96,Action,R
Biggles: Adventures in Time,1986,5.8,88,Adventure,PG
American Anthem,1986,4,102,Drama,PG-13
Out of Bounds,1986,5.4,93,Action,R
My Chauffeur,1986,5.6,97,Comedy,R
Brighton Beach Memoirs,1986,6.9,108,Comedy,PG-13
Summer,1986,7.8,98,Drama,R
The Naked Cage,1986,5.5,97,Drama,R
Link,1986,5.9,100,Horror,R
Half Moon Street,1986,5.4,90,Thriller,R
night  Mother,1986,7.6,96,Drama,PG-13
A Fine Mess,1986,4.5,90,Action,PG
Hardbodies 2,1986,2.9,88,Comedy,R
The Assault,1986,7.3,155,Drama,PG
Willy/Milly,1986,5.7,86,Comedy,PG-13
The Ladies Club,1986,5.3,85,Drama,R
Let's Get Harry,1986,5.2,102,Action,R
Tai-Pan,1986,5.5,127,Adventure,R
Deadtime Stories,1986,4.6,93,Comedy,R
Heat,1986,5.5,101,Action,R
Touch and Go,1986,5.8,101,Comedy,R
The Boy in Blue,1986,5.4,100,Biography,R
Sweet Liberty,1986,5.7,106,Comedy,PG
Killer Party,1986,4.7,91,Comedy,R
Parting Glances,1986,7.8,90,Drama,Not specified
Care Bears Movie II: A New Generation,1986,5.3,76,Animation,G
Jo Jo Dancer  Your Life Is Calling,1986,6.3,97,Biography,R
Jake Speed,1986,5.3,100,Action,PG
Born American,1986,4.3,97,Action,R
Blue City,1986,4.4,83,Action,R
Malcolm,1986,7.2,90,Comedy,PG-13
Playing for Keeps,1986,4.1,102,Comedy,PG-13
Duet for One,1986,7,107,Drama,R
Nobody's Fool,1986,5.5,107,Comedy,PG-13
The Whoopee Boys,1986,6.2,88,Comedy,R
That's Life!,1986,6.1,102,Comedy,PG-13
Body Slam,1986,5.3,89,Comedy,PG
Defense of the Realm,1986,6.6,96,Thriller,PG
Man Facing Southeast,1986,7.8,105,Drama,R
The Decline of the American Empire,1986,7.3,101,Comedy,R
Violets Are Blue...,1986,5.7,88,Drama,PG-13
The Whistle Blower,1986,6.2,100,Thriller,PG
Native Son,1986,5.9,111,Drama,PG
Desert Bloom,1986,6.6,105,Drama,PG
Working Girls,1986,6.5,93,Drama,UNRATED
M?nage,1986,7,84,Comedy,Not specified
Oviri,1986,6.2,100,Biography,R
In the Shadow of Kilimanjaro,1986,5.1,100,Action,R
Kangaroo,1986,6.7,108,Drama,R
Dangerously Close,1986,6.6,95,Action,R
Nutcracker,1986,7.2,100,Family,G
Ginger and Fred,1986,7.3,125,Comedy,PG-13
Dream Lover,1986,5.1,104,Crime,R
Just Between Friends,1986,5.9,110,Drama,PG-13
Thunder Run,1986,5.1,90,Action,PG-13
The Longshot,1986,5.4,89,Comedy,PG-13
Off Beat,1986,5,92,Comedy,PG
Streets of Gold,1986,6,95,Drama,R
Weekend Warriors,1986,4.4,100,Action,R
Sky Bandits,1986,4.6,100,Action,PG
Armed Response,1986,4.9,86,Action,R
Otello,1986,7.2,100,Drama,PG
On the Edge,1986,7.1,95,Drama,PG-13
Low Blow,1986,3.5,100,Action,R
Belizaire the Cajun,1986,6.4,103,Drama,PG
A Man and a Woman: 20 Years Later,1986,5.8,112,Drama,PG
Quiet Cool,1986,5.7,100,Action,R
Behind Enemy Lines,1986,4.9,90,Action,R
Wired to Kill,1986,4.2,86,Action,R
The Fringe Dwellers,1986,6.7,98,Drama,PG
Scene of the Crime,1986,6.9,90,Crime,Not specified
GoBots: Battle of the Rock Lords,1986,5.8,75,Animation,G
The Gospel According to Vic,1986,6.1,92,Comedy,PG
Knights of the City,1986,4.8,87,Action,R
Saving Grace,1986,7,112,Comedy,PG
Jackals,1986,5.3,97,Action,R
Detective School Dropouts,1986,5.8,92,Comedy,PG
Where the River Runs Black,1986,6.6,100,Adventure,PG
Heathcliff: The Movie,1986,5.3,73,Family,G
One More Saturday Night,1986,5.7,95,Comedy,R
The Princess Bride,1987,8.1,98,Adventure,PG
Hellraiser,1987,7,94,Horror,R
Full Metal Jacket,1987,8.3,116,Drama,R
Dirty Dancing,1987,6.9,100,Drama,PG-13
The Lost Boys,1987,7.3,97,Comedy,R
Predator,1987,7.8,107,Action,R
The Running Man,1987,6.6,101,Action,R
Spaceballs,1987,7.1,96,Adventure,PG
RoboCop,1987,7.5,102,Action,R
Lethal Weapon,1987,7.6,110,Action,R
The Untouchables,1987,7.9,119,Crime,R
Evil Dead II,1987,7.8,84,Comedy,R
Masters of the Universe,1987,5.4,106,Action,PG
The Monster Squad,1987,7.2,82,Action,PG-13
Fatal Attraction,1987,6.9,119,Drama,R
The Living Daylights,1987,6.7,130,Action,PG
Wall Street,1987,7.4,126,Crime,R
Empire of the Sun,1987,7.8,153,Drama,PG
Can't Buy Me Love,1987,6.7,94,Comedy,PG-13
The Witches of Eastwick,1987,6.5,118,Comedy,R
Summer School,1987,6.5,97,Comedy,PG-13
A Nightmare on Elm Street 3: Dream Warriors,1987,6.6,96,Action,R
Adventures in Babysitting,1987,6.9,102,Action,PG-13
Hamburger Hill,1987,6.7,110,Action,R
Jaws: The Revenge,1987,2.9,89,Adventure,PG-13
Over the Top,1987,5.7,93,Action,PG
Planes  Trains & Automobiles,1987,7.6,93,Comedy,R
Raising Arizona,1987,7.4,94,Comedy,PG-13
Angel Heart,1987,7.3,113,Horror,R
Some Kind of Wonderful,1987,7.1,95,Drama,PG-13
Mannequin,1987,5.8,90,Comedy,PG
Overboard,1987,6.8,106,Comedy,PG
Innerspace,1987,6.8,120,Action,PG
Moonstruck,1987,7.1,102,Comedy,PG
Beverly Hills Cop II,1987,6.5,100,Action,R
Harry and the Hendersons,1987,5.9,110,Comedy,PG
The Last Emperor,1987,7.8,163,Biography,PG-13
Good Morning  Vietnam,1987,7.3,121,Biography,R
Maurice,1987,7.7,140,Drama,R
3 Men and a Baby,1987,5.9,102,Comedy,PG
Prince of Darkness,1987,6.7,102,Horror,R
La Bamba,1987,6.8,108,Biography,PG-13
Near Dark,1987,7,94,Action,R
Wings of Desire,1987,8.1,128,Drama,PG-13
Less Than Zero,1987,6.4,98,Crime,R
No Way Out,1987,7.1,114,Action,R
*batteries not included,1987,6.6,106,Comedy,PG
Baby Boom,1987,6.1,110,Comedy,PG
Withnail & I,1987,7.8,107,Comedy,R
Flowers in the Attic,1987,5.7,93,Drama,PG-13
Broadcast News,1987,7.2,133,Comedy,R
T?nel al infierno,1987,6,85,Fantasy,PG-13
Superman IV: The Quest for Peace,1987,3.6,90,Action,PG
Creepshow 2,1987,6,92,Comedy,R
Teen Wolf Too,1987,3.2,95,Comedy,PG
Roxanne,1987,6.6,107,Comedy,PG
