Title	Year	Score	Runtime	Genre	Rating
How to Be Single, 	2016, 	6.1/10, 	110 minutes, 	Comedy, 	R

Popstar: Never Stop Never Stopping, 	2016, 	6.7/10, 	87 minutes, 	Comedy, 	R

The Finest Hours, 	2016, 	6.8/10, 	117 minutes, 	Action, 	PG-13

The BFG, 	2016, 	6.4/10, 	117 minutes, 	Adventure, 	PG

20th Century Women, 	2016, 	7.4/10, 	119 minutes, 	Comedy, 	R

Office Christmas Party, 	2016, 	5.8/10, 	105 minutes, 	Comedy, 	R

Chuck, 	2016, 	6.5/10, 	98 minutes, 	Biography, 	R

Monster Trucks, 	2016, 	5.7/10, 	104 minutes, 	Action, 	PG

El especialista: La resurrecci?n, 	2016, 	5.6/10, 	98 minutes, 	Action, 	R

Everybody Wants Some!!, 	2016, 	7/10, 	117 minutes, 	Comedy, 	R

American Honey, 	2016, 	7/10, 	163 minutes, 	Adventure, 	R

Zoolander 2, 	2016, 	4.7/10, 	101 minutes, 	Comedy, 	PG-13

Toni Erdmann, 	2016, 	7.5/10, 	162 minutes, 	Comedy, 	R

Ice Age: Collision Course, 	2016, 	5.7/10, 	94 minutes, 	Animation, 	PG

Hunt for the Wilderpeople, 	2016, 	7.9/10, 	101 minutes, 	Adventure, 	PG-13

The Brothers Grimsby, 	2016, 	6.2/10, 	83 minutes, 	Action, 	R

Sing street; este es tu momento, 	2016, 	8/10, 	106 minutes, 	Comedy, 	PG-13

The Purge: Election Year, 	2016, 	6/10, 	108 minutes, 	Action, 	R

Paterson, 	2016, 	7.4/10, 	118 minutes, 	Comedy, 	R

Midnight Special, 	2016, 	6.7/10, 	112 minutes, 	Drama, 	PG-13

Florence Foster Jenkins, 	2016, 	6.9/10, 	111 minutes, 	Biography, 	PG-13

Alice Through the Looking Glass, 	2016, 	6.2/10, 	113 minutes, 	Adventure, 	PG

Caf? Society, 	2016, 	6.7/10, 	96 minutes, 	Comedy, 	PG-13

Bleed for This, 	2016, 	6.8/10, 	117 minutes, 	Biography, 	R

The Boy, 	2016, 	6/10, 	97 minutes, 	Horror, 	PG-13

Hail  Caesar!, 	2016, 	6.3/10, 	106 minutes, 	Comedy, 	PG-13

Triple 9, 	2016, 	6.3/10, 	115 minutes, 	Action, 	R

El beb? de Bridget Jones, 	2016, 	6.6/10, 	118 minutes, 	Comedy, 	R

Kubo and the Two Strings, 	2016, 	7.8/10, 	101 minutes, 	Animation, 	PG

Neighbors 2: Sorority Rising, 	2016, 	5.7/10, 	92 minutes, 	Comedy, 	R

Dangal, 	2016, 	8.7/10, 	161 minutes, 	Action, 	UNRATED

Ouija: Origin of Evil, 	2016, 	6.1/10, 	99 minutes, 	Horror, 	PG-13

London Has Fallen, 	2016, 	5.9/10, 	99 minutes, 	Action, 	R

Teenage Mutant Ninja Turtles: Out of the Shadows, 	2016, 	6/10, 	112 minutes, 	Action, 	PG-13

The Choice, 	2016, 	6.6/10, 	111 minutes, 	Drama, 	PG-13

The 5th Wave, 	2016, 	5.2/10, 	112 minutes, 	Action, 	PG-13

Swiss Army Man, 	2016, 	7/10, 	97 minutes, 	Adventure, 	R

Lady Macbeth, 	2016, 	7/10, 	89 minutes, 	Drama, 	R

Masterminds, 	2016, 	5.8/10, 	95 minutes, 	Action, 	PG-13

Personal Shopper, 	2016, 	6.2/10, 	105 minutes, 	Drama, 	R

Their Finest, 	2016, 	6.8/10, 	117 minutes, 	Comedy, 	R

Storks, 	2016, 	6.8/10, 	87 minutes, 	Animation, 	PG

Dirty Grandpa, 	2016, 	6/10, 	102 minutes, 	Comedy, 	R

Estaci?n Zombie: tren a Busan, 	2016, 	7.5/10, 	118 minutes, 	Action, 	NOT RATED

The Infiltrator, 	2016, 	7/10, 	127 minutes, 	Biography, 	R

Carrie Pilby, 	2016, 	6.6/10, 	98 minutes, 	Comedy, 	Not specified

Criminal, 	2016, 	6.3/10, 	113 minutes, 	Action, 	R

Ben-Hur, 	2016, 	5.7/10, 	123 minutes, 	Action, 	PG-13

Pride and Prejudice and Zombies, 	2016, 	5.8/10, 	108 minutes, 	Action, 	PG-13

Morgan, 	2016, 	5.8/10, 	92 minutes, 	Action, 	R

Central Intelligence, 	2016, 	6.3/10, 	107 minutes, 	Action, 	PG-13

Independence Day: Resurgence, 	2016, 	5.3/10, 	120 minutes, 	Action, 	PG-13

The Light Between Oceans, 	2016, 	7.2/10, 	133 minutes, 	Drama, 	PG-13

The Exception, 	2016, 	6.8/10, 	107 minutes, 	Drama, 	R

Free Fire, 	2016, 	6.5/10, 	91 minutes, 	Action, 	R

The Huntsman: Winter's War, 	2016, 	6.1/10, 	114 minutes, 	Action, 	PG-13

Finding Dory, 	2016, 	7.4/10, 	97 minutes, 	Animation, 	PG

Certain Women, 	2016, 	6.5/10, 	107 minutes, 	Drama, 	R

Snowden, 	2016, 	7.3/10, 	134 minutes, 	Biography, 	R

Lights Out, 	2016, 	6.4/10, 	81 minutes, 	Horror, 	PG-13

D?a del atentado, 	2016, 	7.4/10, 	133 minutes, 	Crime, 	R

The Belko Experiment, 	2016, 	6.1/10, 	89 minutes, 	Action, 	R

Eddie the Eagle, 	2016, 	7.4/10, 	106 minutes, 	Biography, 	PG-13

Fences, 	2016, 	7.2/10, 	139 minutes, 	Drama, 	PG-13

The Shallows, 	2016, 	6.3/10, 	86 minutes, 	Drama, 	PG-13

Horizonte profundo, 	2016, 	7.2/10, 	107 minutes, 	Action, 	PG-13

El demonio ne?n, 	2016, 	6.2/10, 	118 minutes, 	Horror, 	R

The Jungle Book, 	2016, 	7.5/10, 	106 minutes, 	Adventure, 	PG

Los ilusionistas 2, 	2016, 	6.5/10, 	129 minutes, 	Action, 	PG-13

Mike and Dave Need Wedding Dates, 	2016, 	6/10, 	98 minutes, 	Adventure, 	R

Warcraft: The Beginning, 	2016, 	6.9/10, 	123 minutes, 	Action, 	PG-13

Nerve, 	2016, 	6.6/10, 	96 minutes, 	Adventure, 	PG-13

10 Cloverfield Lane, 	2016, 	7.2/10, 	104 minutes, 	Drama, 	PG-13

Ghostbusters, 	2016, 	5.3/10, 	116 minutes, 	Action, 	PG-13

Sola contra el poder, 	2016, 	7.4/10, 	132 minutes, 	Drama, 	R

Paris Can Wait, 	2016, 	5.8/10, 	92 minutes, 	Comedy, 	PG

Inferno, 	2016, 	6.2/10, 	121 minutes, 	Action, 	PG-13

Captain Fantastic, 	2016, 	7.9/10, 	118 minutes, 	Comedy, 	R

Collateral Beauty, 	2016, 	6.8/10, 	97 minutes, 	Drama, 	PG-13

13 Hours, 	2016, 	7.3/10, 	144 minutes, 	Action, 	R

Sausage Party, 	2016, 	6.2/10, 	89 minutes, 	Animation, 	R

Ella es un monstruo, 	2016, 	6.2/10, 	109 minutes, 	Action, 	R

Jack Reacher: Sin regreso, 	2016, 	6.1/10, 	118 minutes, 	Action, 	PG-13

Keeping Up with the Joneses, 	2016, 	5.8/10, 	105 minutes, 	Action, 	PG-13

Gods of Egypt, 	2016, 	5.4/10, 	127 minutes, 	Action, 	PG-13

La vida secreta de tus mascotas, 	2016, 	6.6/10, 	87 minutes, 	Animation, 	PG

Live by Night, 	2016, 	6.4/10, 	129 minutes, 	Action, 	R

Jackie, 	2016, 	6.8/10, 	100 minutes, 	Biography, 	R

Why Him?, 	2016, 	6.3/10, 	111 minutes, 	Comedy, 	R

War Dogs, 	2016, 	7.1/10, 	114 minutes, 	Comedy, 	R

The Great Wall, 	2016, 	6/10, 	103 minutes, 	Action, 	PG-13

A Cure for Wellness, 	2016, 	6.4/10, 	146 minutes, 	Drama, 	R

Leap!, 	2016, 	6.8/10, 	89 minutes, 	Animation, 	PG

Bad Moms, 	2016, 	6.2/10, 	100 minutes, 	Comedy, 	R

Sully, 	2016, 	7.5/10, 	96 minutes, 	Biography, 	PG-13

The Handmaiden, 	2016, 	8.1/10, 	144 minutes, 	Crime, 	NOT RATED

A Monster Calls, 	2016, 	7.5/10, 	108 minutes, 	Drama, 	PG-13

The Nice Guys, 	2016, 	7.4/10, 	116 minutes, 	Comedy, 	R

Voraz, 	2016, 	7/10, 	99 minutes, 	Drama, 	R

Gold, 	2016, 	6.7/10, 	120 minutes, 	Adventure, 	R

Underworld: Blood Wars, 	2016, 	5.8/10, 	91 minutes, 	Action, 	R

The Legend of Tarzan, 	2016, 	6.3/10, 	110 minutes, 	Action, 	PG-13

The Founder, 	2016, 	7.2/10, 	100 minutes, 	Biography, 	PG-13

The Edge of Seventeen, 	2016, 	7.4/10, 	104 minutes, 	Comedy, 	R

Jason Bourne, 	2016, 	6.7/10, 	123 minutes, 	Action, 	PG-13

Silence, 	2016, 	7.2/10, 	161 minutes, 	Adventure, 	R

Miss Peregrine's Home for Peculiar Children, 	2016, 	6.7/10, 	127 minutes, 	Adventure, 	PG-13

Allegiant, 	2016, 	5.7/10, 	120 minutes, 	Action, 	PG-13

Hell or High Water, 	2016, 	7.6/10, 	102 minutes, 	Crime, 	R

Don't Breathe, 	2016, 	7.2/10, 	88 minutes, 	Crime, 	R

Moonlight, 	2016, 	7.5/10, 	111 minutes, 	Drama, 	R

Resident Evil: The Final Chapter, 	2016, 	5.6/10, 	107 minutes, 	Action, 	R

Allied, 	2016, 	7.1/10, 	124 minutes, 	Action, 	R

Zootopia, 	2016, 	8/10, 	108 minutes, 	Animation, 	PG

Manchester by the Sea, 	2016, 	7.9/10, 	137 minutes, 	Drama, 	R

X-Men: Apocalypse, 	2016, 	7/10, 	144 minutes, 	Action, 	PG-13

The Girl on the Train, 	2016, 	6.5/10, 	112 minutes, 	Crime, 	R

Me Before You, 	2016, 	7.4/10, 	106 minutes, 	Drama, 	PG-13

The Conjuring 2, 	2016, 	7.4/10, 	134 minutes, 	Horror, 	R

Captain America: Civil War, 	2016, 	7.9/10, 	147 minutes, 	Action, 	PG-13

