Title	Year	Score	Runtime	Genre	Rating
Police Academy 3: Back in Training, 	1986, 	5.2/10, 	83 minutes, 	Comedy, 	PG

She's Gotta Have It, 	1986, 	6.6/10, 	84 minutes, 	Comedy, 	R

Ruthless People, 	1986, 	6.9/10, 	93 minutes, 	Comedy, 	R

Band of the Hand, 	1986, 	6.3/10, 	109 minutes, 	Action, 	R

52 Pick-Up, 	1986, 	6.4/10, 	110 minutes, 	Crime, 	R

Children of a Lesser God, 	1986, 	7.2/10, 	119 minutes, 	Drama, 	R

Armed and Dangerous, 	1986, 	5.6/10, 	88 minutes, 	Action, 	PG-13

Down by Law, 	1986, 	7.8/10, 	107 minutes, 	Comedy, 	R

F/X, 	1986, 	6.7/10, 	109 minutes, 	Action, 	R

The Adventures of Milo and Otis, 	1986, 	7.1/10, 	90 minutes, 	Adventure, 	G

Something Wild, 	1986, 	6.9/10, 	114 minutes, 	Comedy, 	R

The Manhattan Project, 	1986, 	6.1/10, 	117 minutes, 	Sci-Fi, 	PG-13

April Fool's Day, 	1986, 	6.2/10, 	89 minutes, 	Horror, 	R

Solarbabies, 	1986, 	4.8/10, 	94 minutes, 	Action, 	PG-13

The Big Easy, 	1986, 	6.6/10, 	102 minutes, 	Comedy, 	R

Jumpin' Jack Flash, 	1986, 	5.8/10, 	105 minutes, 	Comedy, 	R

Piratas, 	1986, 	6.1/10, 	121 minutes, 	Adventure, 	PG-13

When the Wind Blows, 	1986, 	7.8/10, 	80 minutes, 	Animation, 	Not specified

Tough Guys, 	1986, 	6.2/10, 	104 minutes, 	Comedy, 	PG

Matador, 	1986, 	7/10, 	110 minutes, 	Drama, 	NC-17

Black Moon Rising, 	1986, 	5.4/10, 	100 minutes, 	Action, 	R

The Best of Times, 	1986, 	5.9/10, 	104 minutes, 	Comedy, 	PG-13

Witchboard, 	1986, 	5.7/10, 	98 minutes, 	Horror, 	R

Down and Out in Beverly Hills, 	1986, 	6.1/10, 	103 minutes, 	Comedy, 	R

Lady Jane, 	1986, 	7.2/10, 	136 minutes, 	Biography, 	PG-13

Quicksilver, 	1986, 	5.6/10, 	105 minutes, 	Crime, 	PG

My Little Pony: The Movie, 	1986, 	6/10, 	86 minutes, 	Animation, 	G

Gothic, 	1986, 	5.7/10, 	87 minutes, 	Horror, 	R

8 Million Ways to Die, 	1986, 	5.7/10, 	115 minutes, 	Action, 	R

No Mercy, 	1986, 	5.7/10, 	106 minutes, 	Crime, 	R

Haunted Honeymoon, 	1986, 	5.6/10, 	82 minutes, 	Comedy, 	PG

TerrorVision, 	1986, 	5.7/10, 	83 minutes, 	Comedy, 	R

Allan Quatermain and the Lost City of Gold, 	1986, 	4.4/10, 	99 minutes, 	Action, 	PG

Mona Lisa, 	1986, 	7.4/10, 	104 minutes, 	Crime, 	R

Nothing in Common, 	1986, 	5.9/10, 	118 minutes, 	Comedy, 	PG

Firewalker, 	1986, 	5/10, 	104 minutes, 	Action, 	PG

Castaway, 	1986, 	6/10, 	117 minutes, 	Adventure, 	R

Vamp, 	1986, 	5.9/10, 	93 minutes, 	Comedy, 	R

Caravaggio, 	1986, 	6.7/10, 	93 minutes, 	Biography, 	Not specified

Mauvais Sang, 	1986, 	7.3/10, 	116 minutes, 	Crime, 	UNRATED

Fire with Fire, 	1986, 	6.6/10, 	103 minutes, 	Drama, 	PG-13

Club Paradise, 	1986, 	4.9/10, 	96 minutes, 	Comedy, 	PG-13

Legal Eagles, 	1986, 	5.9/10, 	116 minutes, 	Comedy, 	PG

Clockwise, 	1986, 	6.6/10, 	96 minutes, 	Comedy, 	PG

Extremities, 	1986, 	6.3/10, 	89 minutes, 	Drama, 	R

Wise Guys, 	1986, 	5.6/10, 	100 minutes, 	Comedy, 	R

The Men's Club, 	1986, 	4.5/10, 	101 minutes, 	Drama, 	R

Jean de Florette, 	1986, 	8.1/10, 	120 minutes, 	Drama, 	PG

Reform School Girls, 	1986, 	5.2/10, 	94 minutes, 	Drama, 	R

Manon of the Spring, 	1986, 	8/10, 	113 minutes, 	Drama, 	PG

Shanghai Surprise, 	1986, 	3.1/10, 	97 minutes, 	Adventure, 	PG-13

Power, 	1986, 	5.7/10, 	111 minutes, 	Drama, 	R

Modern Girls, 	1986, 	5.9/10, 	84 minutes, 	Comedy, 	PG-13

Crimes of the Heart, 	1986, 	6.4/10, 	105 minutes, 	Comedy, 	PG-13

Nomads, 	1986, 	5.5/10, 	91 minutes, 	Horror, 	R

Eliminators, 	1986, 	4.5/10, 	96 minutes, 	Action, 	PG

Meatballs III: Summer Job, 	1986, 	3.3/10, 	96 minutes, 	Comedy, 	R

Murphy's Law, 	1986, 	5.9/10, 	100 minutes, 	Action, 	R

True Stories, 	1986, 	7/10, 	90 minutes, 	Musical, 	PG

Under the Cherry Moon, 	1986, 	4.9/10, 	98 minutes, 	Comedy, 	PG-13

Every Time We Say Goodbye, 	1986, 	5.9/10, 	95 minutes, 	Drama, 	PG-13

Absolute Beginners, 	1986, 	5.6/10, 	108 minutes, 	Drama, 	PG-13

'Round Midnight, 	1986, 	7.4/10, 	133 minutes, 	Drama, 	R

Avenging Force, 	1986, 	5.9/10, 	104 minutes, 	Action, 	R

Bullies, 	1986, 	5.4/10, 	96 minutes, 	Action, 	R

Biggles: Adventures in Time, 	1986, 	5.8/10, 	88 minutes, 	Adventure, 	PG

American Anthem, 	1986, 	4/10, 	102 minutes, 	Drama, 	PG-13

Out of Bounds, 	1986, 	5.4/10, 	93 minutes, 	Action, 	R

My Chauffeur, 	1986, 	5.6/10, 	97 minutes, 	Comedy, 	R

Brighton Beach Memoirs, 	1986, 	6.9/10, 	108 minutes, 	Comedy, 	PG-13

Summer, 	1986, 	7.8/10, 	98 minutes, 	Drama, 	R

The Naked Cage, 	1986, 	5.5/10, 	97 minutes, 	Drama, 	R

Link, 	1986, 	5.9/10, 	100 minutes, 	Horror, 	R

Half Moon Street, 	1986, 	5.4/10, 	90 minutes, 	Thriller, 	R

night  Mother, 	1986, 	7.6/10, 	96 minutes, 	Drama, 	PG-13

A Fine Mess, 	1986, 	4.5/10, 	90 minutes, 	Action, 	PG

Hardbodies 2, 	1986, 	2.9/10, 	88 minutes, 	Comedy, 	R

The Assault, 	1986, 	7.3/10, 	155 minutes, 	Drama, 	PG

Willy/Milly, 	1986, 	5.7/10, 	86 minutes, 	Comedy, 	PG-13

The Ladies Club, 	1986, 	5.3/10, 	85 minutes, 	Drama, 	R

Let's Get Harry, 	1986, 	5.2/10, 	102 minutes, 	Action, 	R

Tai-Pan, 	1986, 	5.5/10, 	127 minutes, 	Adventure, 	R

Deadtime Stories, 	1986, 	4.6/10, 	93 minutes, 	Comedy, 	R

Heat, 	1986, 	5.5/10, 	101 minutes, 	Action, 	R

Touch and Go, 	1986, 	5.8/10, 	101 minutes, 	Comedy, 	R

The Boy in Blue, 	1986, 	5.4/10, 	100 minutes, 	Biography, 	R

Sweet Liberty, 	1986, 	5.7/10, 	106 minutes, 	Comedy, 	PG

Killer Party, 	1986, 	4.7/10, 	91 minutes, 	Comedy, 	R

Parting Glances, 	1986, 	7.8/10, 	90 minutes, 	Drama, 	Not specified

Care Bears Movie II: A New Generation, 	1986, 	5.3/10, 	76 minutes, 	Animation, 	G

Jo Jo Dancer  Your Life Is Calling, 	1986, 	6.3/10, 	97 minutes, 	Biography, 	R

Jake Speed, 	1986, 	5.3/10, 	100 minutes, 	Action, 	PG

Born American, 	1986, 	4.3/10, 	97 minutes, 	Action, 	R

Blue City, 	1986, 	4.4/10, 	83 minutes, 	Action, 	R

Malcolm, 	1986, 	7.2/10, 	90 minutes, 	Comedy, 	PG-13

Playing for Keeps, 	1986, 	4.1/10, 	102 minutes, 	Comedy, 	PG-13

Duet for One, 	1986, 	7/10, 	107 minutes, 	Drama, 	R

Nobody's Fool, 	1986, 	5.5/10, 	107 minutes, 	Comedy, 	PG-13

The Whoopee Boys, 	1986, 	6.2/10, 	88 minutes, 	Comedy, 	R

That's Life!, 	1986, 	6.1/10, 	102 minutes, 	Comedy, 	PG-13

Body Slam, 	1986, 	5.3/10, 	89 minutes, 	Comedy, 	PG

Defense of the Realm, 	1986, 	6.6/10, 	96 minutes, 	Thriller, 	PG

Man Facing Southeast, 	1986, 	7.8/10, 	105 minutes, 	Drama, 	R

The Decline of the American Empire, 	1986, 	7.3/10, 	101 minutes, 	Comedy, 	R

Violets Are Blue..., 	1986, 	5.7/10, 	88 minutes, 	Drama, 	PG-13

The Whistle Blower, 	1986, 	6.2/10, 	100 minutes, 	Thriller, 	PG

Native Son, 	1986, 	5.9/10, 	111 minutes, 	Drama, 	PG

Desert Bloom, 	1986, 	6.6/10, 	105 minutes, 	Drama, 	PG

Working Girls, 	1986, 	6.5/10, 	93 minutes, 	Drama, 	UNRATED

M?nage, 	1986, 	7/10, 	84 minutes, 	Comedy, 	Not specified

Oviri, 	1986, 	6.2/10, 	100 minutes, 	Biography, 	R

In the Shadow of Kilimanjaro, 	1986, 	5.1/10, 	100 minutes, 	Action, 	R

Kangaroo, 	1986, 	6.7/10, 	108 minutes, 	Drama, 	R

Dangerously Close, 	1986, 	6.6/10, 	95 minutes, 	Action, 	R

Nutcracker, 	1986, 	7.2/10, 	100 minutes, 	Family, 	G

Ginger and Fred, 	1986, 	7.3/10, 	125 minutes, 	Comedy, 	PG-13

Dream Lover, 	1986, 	5.1/10, 	104 minutes, 	Crime, 	R

Just Between Friends, 	1986, 	5.9/10, 	110 minutes, 	Drama, 	PG-13

Thunder Run, 	1986, 	5.1/10, 	90 minutes, 	Action, 	PG-13

