Title	Year	Score	Runtime	Genre	Rating
Return to Horror High, 	1987, 	4.2/10, 	95 minutes, 	Comedy, 	R

Back to the Beach, 	1987, 	5.8/10, 	92 minutes, 	Comedy, 	PG

Nightflyers, 	1987, 	4/10, 	89 minutes, 	Horror, 	R

Fatal Beauty, 	1987, 	5.3/10, 	104 minutes, 	Action, 	R

White Water Summer, 	1987, 	6.2/10, 	90 minutes, 	Adventure, 	PG

The Whales of August, 	1987, 	7.6/10, 	90 minutes, 	Drama, 	NOT RATED

Hiding Out, 	1987, 	6.4/10, 	98 minutes, 	Comedy, 	PG-13

My Best Friend Is a Vampire, 	1987, 	6.1/10, 	89 minutes, 	Comedy, 	PG

