Title	Year	Score	Runtime	Genre	Rating
Iron Eagle II, 	1988, 	3.6/10, 	100 minutes, 	Action, 	PG

I Know Who Killed Me, 	2007, 	3.6/10, 	100 minutes, 	Mystery, 	R

Dragon Wars: D-War, 	2007, 	3.6/10, 	107 minutes, 	Action, 	PG-13

Spy Kids 4: All the Time in the World, 	2011, 	3.6/10, 	100 minutes, 	Action, 	PG

Dracula 3D, 	2012, 	3.6/10, 	110 minutes, 	Horror, 	NOT RATED

The Flintstones in Viva Rock Vegas, 	2000, 	3.6/10, 	90 minutes, 	Comedy, 	PG

Dungeons & Dragons, 	2000, 	3.6/10, 	107 minutes, 	Action, 	PG-13

Mr. Nanny, 	1993, 	3.6/10, 	84 minutes, 	Action, 	PG

Swept Away, 	2002, 	3.6/10, 	89 minutes, 	Comedy, 	R

Ballistic: Ecks vs. Sever, 	2002, 	3.6/10, 	91 minutes, 	Action, 	R

The Room, 	2003, 	3.6/10, 	99 minutes, 	Drama, 	R

Caddyshack II, 	1988, 	3.7/10, 	98 minutes, 	Comedy, 	PG

The Wicker Man, 	2006, 	3.7/10, 	102 minutes, 	Horror, 	PG-13

Wild Orchid II: Two Shades of Blue, 	1991, 	3.7/10, 	111 minutes, 	Drama, 	R

Batman & Robin, 	1997, 	3.7/10, 	125 minutes, 	Action, 	PG-13

Mortal Kombat: Annihilation, 	1997, 	3.7/10, 	95 minutes, 	Action, 	PG-13

Beverly Hills Chihuahua, 	2008, 	3.7/10, 	91 minutes, 	Adventure, 	PG

Street Fighter: La leyenda, 	2009, 	3.7/10, 	96 minutes, 	Action, 	PG-13

The Avengers, 	1998, 	3.7/10, 	89 minutes, 	Action, 	PG-13

Bats, 	1999, 	3.7/10, 	91 minutes, 	Horror, 	PG-13

Thomas and the Magic Railroad, 	2000, 	3.7/10, 	85 minutes, 	Adventure, 	G

Deadfall, 	1993, 	3.7/10, 	98 minutes, 	Crime, 	R

Penitentiary III, 	1987, 	3.7/10, 	90 minutes, 	Comedy, 	R

Double Dragon, 	1994, 	3.7/10, 	96 minutes, 	Action, 	PG-13

Mr. Wrong, 	1996, 	3.8/10, 	96 minutes, 	Comedy, 	PG-13

In the Name of the King: A Dungeon Siege Tale, 	2007, 	3.8/10, 	127 minutes, 	Action, 	PG-13

Speed 2: Cruise Control, 	1997, 	3.8/10, 	121 minutes, 	Action, 	PG-13

The Love Guru, 	2008, 	3.8/10, 	87 minutes, 	Comedy, 	PG-13

Beastmaster 2: Through the Portal of Time, 	1991, 	3.8/10, 	107 minutes, 	Action, 	PG-13

Furry Vengeance, 	2010, 	3.8/10, 	100 minutes, 	Comedy, 	PG

Piranha 3DD, 	2012, 	3.8/10, 	83 minutes, 	Comedy, 	R

King Kong Lives, 	1986, 	3.8/10, 	105 minutes, 	Action, 	PG-13

MVP: Most Valuable Primate, 	2000, 	3.8/10, 	93 minutes, 	Comedy, 	PG

Son of the Pink Panther, 	1993, 	3.8/10, 	93 minutes, 	Comedy, 	PG

The Adventures of Pluto Nash, 	2002, 	3.8/10, 	95 minutes, 	Comedy, 	PG-13

Street Fighter, 	1994, 	3.8/10, 	102 minutes, 	Action, 	PG-13

The Cat in the Hat, 	2003, 	3.8/10, 	82 minutes, 	Adventure, 	PG

American Ninja 4: The Annihilation, 	1990, 	3.8/10, 	99 minutes, 	Action, 	R

The Haunting of Morella, 	1990, 	3.9/10, 	82 minutes, 	Horror, 	R

Gordy, 	1995, 	3.9/10, 	100 minutes, 	Comedy, 	G

Phat Beach, 	1996, 	3.9/10, 	89 minutes, 	Comedy, 	R

Solo, 	1996, 	3.9/10, 	94 minutes, 	Action, 	PG-13

Prom Night, 	2008, 	3.9/10, 	88 minutes, 	Horror, 	PG-13

The Haunting of Molly Hartley, 	2008, 	3.9/10, 	82 minutes, 	Drama, 	PG-13

Mr. Magoo, 	1997, 	3.9/10, 	87 minutes, 	Adventure, 	PG

The Human Centipede II (Full Sequence), 	2011, 	3.9/10, 	91 minutes, 	Horror, 	NOT RATED

Tarzan and the Lost City, 	1998, 	3.9/10, 	100 minutes, 	Action, 	PG

Woo, 	1998, 	3.9/10, 	84 minutes, 	Comedy, 	R

Meet the Deedles, 	1998, 	3.9/10, 	93 minutes, 	Comedy, 	PG

Dudley Do-Right, 	1999, 	3.9/10, 	77 minutes, 	Comedy, 	PG

The Canyons, 	2013, 	3.9/10, 	99 minutes, 	Drama, 	R

Cop & ?, 	1993, 	3.9/10, 	97 minutes, 	Comedy, 	PG

The Disappointments Room, 	2016, 	3.9/10, 	85 minutes, 	Drama, 	R

Soul Survivors, 	2001, 	3.9/10, 	84 minutes, 	Drama, 	PG-13

Beverly Hills Brats, 	1989, 	3.9/10, 	90 minutes, 	Comedy, 	PG-13

El triturador, 	1995, 	4/10, 	106 minutes, 	Horror, 	R

Man-Thing, 	2005, 	4/10, 	105 minutes, 	Action, 	R

Norbit, 	2007, 	4/10, 	100 minutes, 	Comedy, 	PG-13

American Anthem, 	1986, 	4/10, 	102 minutes, 	Drama, 	PG-13

Are We Done Yet?, 	2007, 	4/10, 	92 minutes, 	Comedy, 	PG

Redline, 	2007, 	4/10, 	100 minutes, 	Action, 	PG-13

One Missed Call, 	2008, 	4/10, 	87 minutes, 	Horror, 	PG-13

The Unborn, 	1991, 	4/10, 	100 minutes, 	Drama, 	R

Nightflyers, 	1987, 	4/10, 	89 minutes, 	Horror, 	R

Shark Night 3D, 	2011, 	4/10, 	90 minutes, 	Horror, 	PG-13

The Allnighter, 	1987, 	4/10, 	108 minutes, 	Comedy, 	PG-13

Super Mario Bros., 	1993, 	4/10, 	104 minutes, 	Adventure, 	PG

Book of Shadows: Blair Witch 2, 	2000, 	4/10, 	90 minutes, 	Adventure, 	R

RoboCop 3, 	1993, 	4/10, 	104 minutes, 	Action, 	PG-13

The Trouble with Spies, 	1987, 	4/10, 	91 minutes, 	Action, 	PG-13

The Country Bears, 	2002, 	4/10, 	88 minutes, 	Comedy, 	G

Torque, 	2004, 	4/10, 	84 minutes, 	Action, 	PG-13

Fair Game, 	1995, 	4.1/10, 	91 minutes, 	Action, 	R

