Title	Year	Score	Runtime	Genre	Rating
I Still Know What You Did Last Summer, 	1998, 	4.6/10, 	100 minutes, 	Horror, 	R

Yogi Bear, 	2010, 	4.6/10, 	100 minutes, 	Animation, 	PG

Firestorm, 	1998, 	4.6/10, 	89 minutes, 	Thriller, 	R

Friday the 13th Part VIII: Jason Takes Manhattan, 	1989, 	4.6/10, 	100 minutes, 	Adventure, 	R

Catch .44, 	2011, 	4.6/10, 	94 minutes, 	Action, 	R

Paranormal Activity 4, 	2012, 	4.6/10, 	88 minutes, 	Horror, 	R

The Rage: Carrie 2, 	1999, 	4.6/10, 	104 minutes, 	Horror, 	R

